V1;dN.dS
CS_07361;0.33965074334215
CS_07398;0.219273279515878
CS_07399;0.303239109534018
CS_07454;NA
CS_07492;NA
CS_07545;NA
CS_07695;0.164252479605438
CS_07701;NA
CS_07886;NA
CS_08105;NA
CS_08238;NA
CS_08244;0.377297544483991
CS_08255;0.506611517066645
CS_08414;0.170305527407614
CS_08458;0.424786470920111
CS_08575;0.215190517208342
CS_08639;0.0748695145512506
CS_08792;NA
CS_08812;NA
CS_08840;NA
CS_08930;0.520698989913817
CS_08969;NA
CS_09039;NA
CS_09108;0.257929690734419
CS_09219;0.32631484568486
CS_09230;0.323450822070941
CS_09290;0.440346217967426
CS_09318;NA
CS_09331;0.363665860759576
CS_09357;0.655869859726282
CS_09457;NA
CS_09484;NA
CS_09565;0.729554818897349
CS_09608;0.484386402017591
CS_09624;NA
CS_09635;0.414867808629785
CS_09763;NA
CS_09778;0.497976001542625
CS_09841;0.317552385098413
CS_09865;0.473182655539122
CS_09903;0.288937652191202
CS_10092;0.191842997857219
CS_10119;0.124877222377203
CS_10283;NA
CS_10300;0.216212973764575
CS_10370;0.441625897085427
CS_10415;0.329559331269273
CS_10416;0.207943215170139
CS_10463;NA
CS_10638;0.337417092754056
CS_10860;NA
CS_10948;NA
CS_10949;NA
CS_10950;NA
CS_11013;NA
CS_11035;0.33177189592108
CS_11057;NA
CS_11145;0.559444973929176
CS_11199;0.432876640065638
CS_11201;0.413719833881554
CS_11349;NA
CS_11371;NA
CS_11380;0.161321140745963
CS_11415;NA
CS_11453;NA
CS_11459;0.28257325823466
CS_11512;NA
CS_11581;0.220334058415937
CS_11585;NA
CS_11609;0.210990075151653
CS_11610;0.450121931509768
CS_11618;0.354197870326842
CS_11815;NA
CS_11830;NA
CS_11831;NA
CS_11849;NA
CS_11998;NA
CS_12121;0.469875449807984
CS_12131;NA
CS_12311;0.305140822046404
CS_12367;0.315476180474623
CS_12419;0.234960077345972
CS_12520;NA
CS_12557;0.39804431763117
CS_12577;0.303239109534018
CS_12644;NA
CS_12686;NA
CS_12815;0.247129608548268
CS_12872;0.224306230388943
CS_12909;0.411102195449146
CS_12921;NA
CS_13020;0.527434429321597
CS_13069;0.141414498716894
CS_13150;0.285252039166419
CS_13199;NA
CS_13469;NA
CS_13568;0.317067005762394
CT04_00155;0.59210032231194
CT04_00222;0.315476180474623
CT04_00229;0.448833548906492
CT04_00277;0.459374583267111
CT04_00508;0.426599733081085
CT04_00621;0.484386402017591
CT04_00782;0.483227216062505
CT04_00833;0.448832073406759
CT04_00924;0.550774320909044
CT04_01126;0.36992428077758
CT04_01252;0.553554438396546
CT04_01302;0.376239326153344
CT04_01323;0.0907646572970005
CT04_01337;NA
CT04_01355;0.441625897085427
CT04_01380;0.39804431763117
CT04_01555;0.406944324732136
CT04_01629;0.38130378537032
CT04_01742;0.377297544483991
CT04_01748;0.506611517066645
CT04_01776;0.31524705901198
CT04_01812;0.352241472730266
CT04_01886;0.503878211619296
CT04_02231;0.24375174121623
CT04_02234;NA
CT04_02249;0.234960077345972
CT04_02330;0.414405129235123
CT04_02431;0.310430886709396
CT04_02592;0.288937652191202
CT04_02731;0.440346217967426
CT04_02762;0.303239109534018
CT04_02884;0.30609392086142
CT04_02888;0.377988786337645
CT04_02913;NA
CT04_02934;NA
CT04_03039;0.424786470920111
CT04_03186;0.364296764496316
CT04_03189;NA
CT04_03257;0.228970519785493
CT04_03258;0.317067005762394
CT04_03375;0.419494737648128
CT04_03391;0.273051479112621
CT04_04055;NA
CT04_04095;0.296084552649031
CT04_04204;NA
CT04_04209;0.316347481397769
CT04_04293;0.207943215170139
CT04_04296;0.329559331269273
CT04_04305;0.337417092754056
CT04_04320;0.191842997857219
CT04_04385;0.161321140745963
CT04_04502;0.216153563093387
CT04_04741;NA
CT04_04758;NA
CT04_04946;0.439977037005923
CT04_04972;0.257929690734419
CT04_05070;0.464681651816928
CT04_05477;0.3022643232131
CT04_05635;0.436123826900845
CT04_05793;NA
CT04_06083;0.48992476711542
CT04_06120;0.415880046916828
CT04_06122;0.311716466407552
CT04_06236;0.259566386395841
CT04_06246;NA
