geneID;pegID;gFam
CGGC5_5276;0002.peg.5262;gfam_76
Cob_05215;0003.peg.5212;gfam_76
CS_09473;0004.peg.9473;gfam_76
CT04_03019;1001.peg.3019;gfam_76
CT04_04517;1001.peg.4517;gfam_76
CT04_07408;1001.peg.7408;gfam_76
CBS495_10718;1002.peg.10718;gfam_76
CBS495_11575;1002.peg.11575;gfam_76
CBS495_01514;1002.peg.1514;gfam_76
CBS130_06275;1003.peg.6275;gfam_76
CBS130_08050;1003.peg.8050;gfam_76
CBS130_08765;1003.peg.8765;gfam_76
CBS127_02680;1004.peg.2680;gfam_76
CBS127_00426;1004.peg.426;gfam_76
CBS168_01506;1005.peg.1506;gfam_76
CBS168_01995;1005.peg.1995;gfam_76
CBS168_00612;1005.peg.612;gfam_76
CH063_01969T0;0005.peg.1969;gfam_76
CGGC5_13045;0002.peg.12997;gfam_76
CH063_08016T0;0005.peg.8016;gfam_76
Cob_09240;0003.peg.9236;gfam_76
GLRG_06805T0;0001.peg.6805;gfam_77
GLRG_09401T0;0001.peg.9401;gfam_77
CGGC5_1573;0002.peg.1570;gfam_77
CGGC5_6147;0002.peg.6128;gfam_77
Cob_11326;0003.peg.11322;gfam_77
Cob_09047;0003.peg.9043;gfam_77
CS_02790;0004.peg.2790;gfam_77
CT04_02437;1001.peg.2437;gfam_77
CT04_04006;1001.peg.4006;gfam_77
CT04_04328;1001.peg.4328;gfam_77
CBS495_01171;1002.peg.1171;gfam_77
CBS495_12820;1002.peg.12820;gfam_77
CBS495_03189;1002.peg.3189;gfam_77
CBS130_01355;1003.peg.1355;gfam_77
CBS130_00049;1003.peg.49;gfam_77
CBS130_09922;1003.peg.9922;gfam_77
CBS127_03253;1004.peg.3253;gfam_77
CBS127_06226;1004.peg.6226;gfam_77
CBS127_00807;1004.peg.807;gfam_77
CBS168_01344;1005.peg.1344;gfam_77
CBS168_06452;1005.peg.6452;gfam_77
CBS168_04853;1005.peg.4853;gfam_77
GLRG_02984T0;0001.peg.2984;gfam_77
CGGC5_14980;0002.peg.14907;gfam_77
Cob_10914;0003.peg.10910;gfam_77
CS_01587;0004.peg.1587;gfam_77
CH063_11974T0;0005.peg.11974;gfam_77
CH063_13696T0;0005.peg.13696;gfam_77
CGGC5_13275;0002.peg.13224;gfam_80
CGGC5_6195;0002.peg.6176;gfam_80
Cob_00153;0003.peg.153;gfam_80
Cob_02296;0003.peg.2294;gfam_80
Cob_03590;0003.peg.3588;gfam_80
CS_01450;0004.peg.1450;gfam_80
CS_04493;0004.peg.4493;gfam_80
CS_08055;0004.peg.8055;gfam_80
CH063_10343T0;0005.peg.10343;gfam_80
CH063_07352T0;0005.peg.7352;gfam_80
CT04_01934;1001.peg.1934;gfam_80
CT04_03037;1001.peg.3037;gfam_80
CT04_05693;1001.peg.5693;gfam_80
CBS495_11762;1002.peg.11762;gfam_80
CBS495_12558;1002.peg.12558;gfam_80
CBS495_03208;1002.peg.3208;gfam_80
CBS130_01852;1003.peg.1852;gfam_80
CBS130_09207;1003.peg.9207;gfam_80
CBS130_03992;1003.peg.3992;gfam_80
CBS127_01623;1004.peg.1623;gfam_80
CBS127_08556;1004.peg.8556;gfam_80
CBS127_00826;1004.peg.826;gfam_80
CBS168_01325;1005.peg.1325;gfam_80
CBS168_02596;1005.peg.2596;gfam_80
CBS168_07067;1005.peg.7067;gfam_80
GLRG_01824T0;0001.peg.1824;gfam_80
CGGC5_9076;0002.peg.9044;gfam_80
GLRG_04751T0;0001.peg.4751;gfam_80
GLRG_09382T0;0001.peg.9382;gfam_80
CGGC5_3017;0002.peg.3010;gfam_81
CGGC5_8619;0002.peg.8588;gfam_81
Cob_02989;0003.peg.2987;gfam_81
Cob_06624;0003.peg.6620;gfam_81
Cob_07550;0003.peg.7546;gfam_81
