geneID	pegID	gFam
CT04_06120	1001.peg.6120	gfam_11859
CBS127_01083	1004.peg.1083	gfam_11859
CBS130_04954	1003.peg.4954	gfam_11859
CBS495_06342	1002.peg.6342	gfam_11859
CT04_08444	1001.peg.8444	gfam_11921
CBS127_02778	1004.peg.2778	gfam_11921
CBS130_06372	1003.peg.6372	gfam_11921
CBS168_00711	1005.peg.711	gfam_11921
CBS495_08175	1002.peg.8175	gfam_11921
CT04_09162	1001.peg.9162	gfam_11941
CBS127_06726	1004.peg.6726	gfam_11941
CBS130_09001	1003.peg.9001	gfam_11941
CBS168_08538	1005.peg.8538	gfam_11941
CBS495_05160	1002.peg.5160	gfam_11941
CBS127_06647	1004.peg.6647	gfam_11971
CBS130_05380	1003.peg.5380	gfam_11971
CBS168_02316	1005.peg.2316	gfam_11971
CBS495_00807	1002.peg.807	gfam_11971
Cob_01200	0003.peg.1199	gfam_11992
Cob_08941	0003.peg.8937	gfam_11992
CS_03901	0004.peg.3901	gfam_12028
CT04_03258	1001.peg.3258	gfam_12041
CBS127_12512	1004.peg.12512	gfam_12041
CS_13568	0004.peg.13568	gfam_12041
GLRG_11273T0	0001.peg.11273	gfam_12041
CH063_12064T0	0005.peg.12064	gfam_12071
CBS130_03943	1003.peg.3943	gfam_12074
CS_09778	0004.peg.9778	gfam_12074
GLRG_04707T0	0001.peg.4707	gfam_12074
CH063_01386T0	0005.peg.1386	gfam_12074
CT04_01812	1001.peg.1812	gfam_12111
CBS127_06032	1004.peg.6032	gfam_12111
GLRG_00911T0	0001.peg.911	gfam_12111
CH063_04125T0	0005.peg.4125	gfam_12111
CS_00338	0004.peg.338	gfam_12148
CH063_06415T0	0005.peg.6415	gfam_12148
CGGC5_1592	0002.peg.1589	gfam_12163
CBS495_06865	1002.peg.6865	gfam_12172
CH063_01084T0	0005.peg.1084	gfam_12172
Cob_06329	0003.peg.6325	gfam_12172
CGGC5_3353	0002.peg.3345	gfam_12172
CT04_03257	1001.peg.3257	gfam_12174
CT04_10561	1001.peg.10561	gfam_12174
CGGC5_3370	0002.peg.3362	gfam_12174
CS_11459	0004.peg.11459	gfam_12194
CGGC5_7542	0002.peg.7516	gfam_12194
CT04_10766	1001.peg.10766	gfam_12220
CBS127_07083	1004.peg.7083	gfam_12220
CBS130_01039	1003.peg.1039	gfam_12220
CBS495_02264	1002.peg.2264	gfam_12220
CT04_11194	1001.peg.11194	gfam_12221
CBS127_03595	1004.peg.3595	gfam_12221
CBS130_08122	1003.peg.8122	gfam_12221
CT04_04758	1001.peg.4758	gfam_12253
CBS130_01630	1003.peg.1630	gfam_12279
CBS495_11376	1002.peg.11376	gfam_12279
CBS168_01797	1005.peg.1797	gfam_12287
CBS127_11562	1004.peg.11562	gfam_12288
CBS130_03746	1003.peg.3746	gfam_12288
CBS168_12801	1005.peg.12801	gfam_12288
CBS495_12225	1002.peg.12225	gfam_12288
CBS127_04662	1004.peg.4662	gfam_12295
CBS130_03116	1003.peg.3116	gfam_12295
CBS168_03903	1005.peg.3903	gfam_12295
CBS495_01619	1002.peg.1619	gfam_12295
CBS127_06414	1004.peg.6414	gfam_12317
CBS130_00938	1003.peg.938	gfam_12317
CBS168_05568	1005.peg.5568	gfam_12317
CBS495_04425	1002.peg.4425	gfam_12317
CBS168_01099	1005.peg.1099	gfam_12326
CBS127_04342	1004.peg.4342	gfam_12332
CBS168_06772	1005.peg.6772	gfam_12332
CBS127_06534	1004.peg.6534	gfam_12339
CBS130_08460	1003.peg.8460	gfam_12339
CBS168_00078	1005.peg.78	gfam_12339
CBS495_00078	1002.peg.78	gfam_12339
CS_08575	0004.peg.8575	gfam_12406
CH063_10826T0	0005.peg.10826	gfam_12406
CH063_13516T0	0005.peg.13516	gfam_12406
CGGC5_15427	0002.peg.15344	gfam_12447
CGGC5_13891	0002.peg.13828	gfam_12459
CGGC5_15105	0002.peg.15029	gfam_12487
Cob_10897	0003.peg.10893	gfam_12513
CGGC5_9120	0002.peg.9088	gfam_12513
CH063_07488T0	0005.peg.7488	gfam_12608
Cob_06857	0003.peg.6853	gfam_12608
CGGC5_10188	0002.peg.10149	gfam_12608
CGGC5_11626	0002.peg.11583	gfam_12632
Cob_02751	0003.peg.2749	gfam_12639
CS_10119	0004.peg.10119	gfam_12640
CGGC5_12601	0002.peg.12555	gfam_12640
CH063_01399T0	0005.peg.1399	gfam_12651
Cob_09346	0003.peg.9342	gfam_12651
CGGC5_13865	0002.peg.13804	gfam_12651
Cob_10388	0003.peg.10384	gfam_12680
CH063_04757T0	0005.peg.4757	gfam_12698
Cob_08268	0003.peg.8264	gfam_12698
CGGC5_398	0002.peg.397	gfam_12698
CH063_10822T0	0005.peg.10822	gfam_12704
Cob_11289	0003.peg.11285	gfam_12704
CGGC5_4117	0002.peg.4107	gfam_12704
CS_11610	0004.peg.11610	gfam_12712
Cob_05398	0003.peg.5395	gfam_12712
CS_01388	0004.peg.1388	gfam_12735
CH063_10844T0	0005.peg.10844	gfam_12735
CGGC5_6805	0002.peg.6782	gfam_12735
CS_09841	0004.peg.9841	gfam_12736
Cob_02046	0003.peg.2044	gfam_12736
CGGC5_6817	0002.peg.6794	gfam_12736
CH063_10503T0	0005.peg.10503	gfam_12752
Cob_00326	0003.peg.326	gfam_12752
CGGC5_7871	0002.peg.7842	gfam_12752
CH063_03854T0	0005.peg.3854	gfam_12789
Cob_13064	0003.peg.13059	gfam_12789
CS_09230	0004.peg.9230	gfam_12792
CH063_01004T0	0005.peg.1004	gfam_12792
Cob_04605	0003.peg.4603	gfam_12792
CS_01846	0004.peg.1846	gfam_12794
CH063_13357T0	0005.peg.13357	gfam_12794
Cob_05705	0003.peg.5702	gfam_12794
CBS495_10162	1002.peg.10162	gfam_12803
CBS127_06323	1004.peg.6323	gfam_12887
CBS168_12594	1005.peg.12594	gfam_12887
CBS495_11311	1002.peg.11311	gfam_12887
CBS130_03275	1003.peg.3275	gfam_12903
CBS168_00218	1005.peg.218	gfam_12903
CBS495_00217	1002.peg.217	gfam_12903
CBS127_04891	1004.peg.4891	gfam_12917
CBS130_12429	1003.peg.12429	gfam_12917
CBS495_06041	1002.peg.6041	gfam_12917
