gFam;geneID
gfam_11423;CBS495_10860
gfam_11426;CT04_11716
gfam_11426;CBS130_11775
gfam_11426;CBS495_10865
gfam_11428;CT04_13259
gfam_11428;CBS127_11927
gfam_11428;CBS130_12066
gfam_11428;CBS168_12207
gfam_11441;CT04_02330
gfam_11441;CBS127_11452
gfam_11441;CBS130_11881
gfam_11441;CBS168_06290
gfam_11499;CBS130_08041
gfam_11499;CBS495_10709
gfam_11500;CT04_13237
gfam_11500;CS_03192
gfam_11500;GLRG_09685T0
gfam_11500;CH063_12401T0
gfam_11523;CT04_06293
gfam_11523;CBS127_02241
gfam_11523;CBS168_03489
gfam_1153;GLRG_05496T0
gfam_11540;CBS127_09620
gfam_11540;CBS130_01174
gfam_11540;CBS495_04270
gfam_11557;CBS127_12939
gfam_11557;CBS130_02913
gfam_11557;CBS495_12688
gfam_11613;CT04_10768
gfam_11613;CBS127_07078
gfam_11613;CBS130_01044
gfam_11613;CBS168_04330
gfam_11613;CBS495_02259
gfam_11616;CT04_10804
gfam_11616;CBS127_12169
gfam_11616;CBS130_05823
gfam_11616;CBS168_04723
gfam_11616;CBS495_04101
gfam_11622;CT04_10907
gfam_11622;CBS168_05992
gfam_11633;CT04_11158
gfam_11633;CBS127_12242
gfam_11633;CBS130_04577
gfam_11633;CBS168_12396
gfam_11633;CBS495_12064
gfam_11645;CT04_11428
gfam_11645;CBS127_01976
gfam_11645;CBS130_10578
gfam_11645;CBS168_10831
gfam_11645;CBS495_11970
gfam_11679;CT04_12418
gfam_11679;CBS127_01251
gfam_11679;CBS130_07269
gfam_11679;CBS168_06286
gfam_11679;CBS495_12026
gfam_11685;CT04_12692
gfam_11685;CBS127_01161
gfam_11685;CBS130_05032
gfam_11685;CBS168_05262
gfam_11685;CBS495_06419
gfam_11688;CT04_12762
gfam_11688;CBS127_04941
gfam_11688;CBS130_01533
gfam_11688;CBS168_10913
gfam_11688;CBS495_10969
gfam_11706;CBS127_07657
gfam_11706;CBS130_08082
gfam_11706;CBS168_11211
gfam_11706;CBS495_03637
